Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Swag Labs,Chrome 119.0.0.0,,,2023-11-02 11:54:38,2023-11-02 11:56:25,1m - 46.755s,PASSED
,,,,,,,
Test Cases/Login Page Swag Labs,Chrome 119.0.0.0,,,2023-11-02 11:54:38,2023-11-02 11:54:43,5.224s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-02 11:54:38,2023-11-02 11:54:40,1.486s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.0.0,,,2023-11-02 11:54:40,2023-11-02 11:54:41,1.033s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_user-name""), findTestData(""New Test Data"").getValue(1, 1))",Chrome 119.0.0.0,,,2023-11-02 11:54:41,2023-11-02 11:54:43,1.734s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_password""), findTestData(""New Test Data"").getValue(2, 1))",Chrome 119.0.0.0,,,2023-11-02 11:54:43,2023-11-02 11:54:43,0.382s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_login-button""))",Chrome 119.0.0.0,,,2023-11-02 11:54:43,2023-11-02 11:54:43,0.346s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-02 11:54:43,2023-11-02 11:54:43,0.003s,NOT_RUN
,,,,,,,
Test Cases/New Purchase,Chrome 119.0.0.0,,,2023-11-02 11:56:03,2023-11-02 11:56:13,10.626s,PASSED
"callTestCase(findTestCase(""Login Page Swag Labs""), [:], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-02 11:56:03,2023-11-02 11:56:07,4.299s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/button_Add to cart""))",Chrome 119.0.0.0,,,2023-11-02 11:56:07,2023-11-02 11:56:08,0.518s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/button_Add to cart_1""))",Chrome 119.0.0.0,,,2023-11-02 11:56:08,2023-11-02 11:56:08,0.526s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/a_2""))",Chrome 119.0.0.0,,,2023-11-02 11:56:08,2023-11-02 11:56:09,0.526s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/button_Checkout""))",Chrome 119.0.0.0,,,2023-11-02 11:56:09,2023-11-02 11:56:09,0.538s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Page_Swag Labs/input_firstName""), findTestData(""New Test Data"").getValue(3, 1))",Chrome 119.0.0.0,,,2023-11-02 11:56:09,2023-11-02 11:56:10,0.829s,PASSED
